text,score,predicted_score
沒什麼感覺，感覺就是普通的一天。,2,2
真的很謝謝你的照顧，像家人一樣。,1,1
我還在考慮要不要買這個東西。,2,2
你的分析很特別，特別離題、特別沒用。,4,4
好啊，那就按照原本的流程去處理。,2,2
你這種人，不去演反派真是浪費了那副天生的嘴臉。,4,4
請不用太著急，時間還很多。,1,1
你的智商跟你的身高如果成正比，那你應該是哈比人吧。,4,4
如果思考是活著的證明，此時此刻我真懷疑你是具屍體。,4,4
這個味道聞起來像是燒焦了。,2,2
你是個奇蹟，醫學史上沒有腦部這個區域依然能活的首例。,4,4
我們還需要去超市買一些日用品。,2,2
你這樣做只會讓大家更討厭你而已。,3,3
你這種說話方式真的很容易得罪人。,3,3
這部分可能我們有些誤會。,1,1
不要以為你曬黑了，就能掩蓋你的白目。,4,4
成績能保持掛蛋的這麼穩定，應該要頒獎表揚你了,4,4
我對這次的安排沒什麼問題。,2,2
那邊的冷氣好像開得有點強。,2,2
我們是不是該把舊衣服回收了？,2,2
這樣做很經濟，省了不少錢。,1,1
這種低級錯誤連猴子都不會犯，你真是刷新了我的認知。,4,4
做成這樣還敢講那麼大聲，真夠勇敢。,4,4
沒事的，下次注意一下就好。,1,1
真的很謝謝你記得我的生日。,1,1
沒關係，我再試試看別的方法。,1,1
嗯嗯，我大概了解你的想法是什麼。,2,2
你這種行為真的讓人覺得很倒胃口。,3,3
我喜歡長的壞壞的，不是像你這種長壞的,4,4
你的大腦是不是還在原廠設定，完全沒更新過？,4,4
我對你的耐心真的已經被磨光了。,3,3
我對這件事情沒有什麼特別意見。,2,2
這種不負責任的態度真的讓人火大。,3,3
變天了，請好好照顧自己。,1,1
你的廚藝頗有英式風格，吃起來還參雜大自然的風味,4,4
不好意思讓你跑一趟拿東西。,1,1
往好裡說，是長的富態，往壞裡說呢，乾脆是一塊肉。,4,4
你答應過的事情哪一次是真的有做到的？,3,3
這個食譜看起來步驟不會很難。,2,2
沒問題，這點小事交給我。,1,1
笑死，你的邏輯真的是比笑話還荒謬。,4,4
不用這麼客氣，當自己家。,1,1
真的很謝謝你的貢獻，辛苦了。,1,1
做得這麼爛還敢說出口，真不要臉。,3,3
這明明就是你的錯，到底在硬拗什麼？,3,3
遇見你之前我只聽過裹小腳的，沒見過裹小腦的,4,4
這樣處理很快速，馬上就好了。,1,1
這樣做也很不錯，蠻方便的。,1,2
你能不能不要每次都在這種緊要關頭出包？,3,3
真的辛苦了，快去洗澡睡覺吧。,1,1
真的很謝謝你的接納與包容。,1,1
井蛙不可以語於海者，夏蟲不可以語冰。,4,2
不用急，慢慢來就好，安全重要。,1,1
他是一個天生的悲劇，因為他居然出生了。,4,4
我從不和愚蠢的人爭論，因為他們會把我拉到同樣的高度，然後用經驗擊敗我。,4,4
請稍微等待一下，我在路上了。,1,1
拜託你稍微用點腦袋想一下後果好不好。,3,3
這項規定從下個月開始實施。,2,2
你這種思考模式，大概連單細胞生物都會嫌棄。,4,4
謝謝你的鼓勵，我更有信心了。,1,1
你藝術的五官，都掩蓋不了你簡約的智商。,4,4
包裹應該會在今天下午送達。,2,2
看你這麼蠢，我也就放心了，這世界還是有笨蛋墊底的。,4,4
這樣做很省事，不用洗碗了。,1,2
建議你學習天線寶寶，在頭上裝個天線，幫你釐清一下自己的定位。,4,4
這種事情發生一次就算了，還一而再再而三。,3,3
我已經忍耐你很久了，不要得寸進尺。,3,3
這根本就是在強詞奪理，邏輯完全不通。,3,3
這種低級的錯誤你也犯，真的太誇張了。,3,3
這個氣氛很溫馨，很有家的感覺。,1,1
謝謝你的參與，人多才熱鬧。,1,1
好啦，那就照你說的方法繼續下去吧。,2,2
你這種做法白痴到我都不想理你。,3,3
我把鑰匙放在客廳的桌子上。,2,2
我知道了，這件事情就先放著好了。,2,2
請不用太掛心，我會照顧自己。,1,1
你的思考迴路是不是短路了？需不需要幫你叫修？,4,4
感謝你的指教，我學到很多。,1,1
別擔心，腦袋空空也是一種環保，至少不會產生思想垃圾。,4,4
不知道你是小腦完全不發育 還是大腦發育不完全,4,4
不好意思讓你忙進忙出的。,1,1
人類的道德與禮儀似乎不適用于非人類身上，簡稱畜生。,4,4
今天晚餐我們就簡單吃一點吧。,2,1
看你處理事情的樣子，我只想翻白眼。,4,3
別給自己太大壓力，放輕鬆。,1,1
不客氣，朋友之間應該的。,1,1
這樣做很合理，沒什麼問題。,1,2
你能不能稍微顧慮一下周圍的氣氛？,3,3
拜託快閉嘴，聽你講話都覺得頭痛。,3,3
別再吵了，聽你講半句都浪費時間。,3,3
這部電影的場次是晚上七點的。,2,2
