text,target,output,model_name,prompt_type,score,predicted_score
這個進步顯著，應該持續下去。,2,這個進步顯著，應該持續下去。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,1
這個進步值得肯定，請保持良好表現。,3,這個進步值得肯定，請保持良好表現。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,1
這個進步還可以更好，別鬆懈了。,4,這個進步還可以更好，別鬆懈了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,2
感謝您的指導，獲益匪淺。,2,感謝您的指導，獲益匪淺。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,1
感謝你的指導，獲益匪淺。,3,感謝你的指導，獲益匪淺。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,1
感謝你的指點，獲益匪淺。,4,感謝你的指點，獲益匪淺。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,1
請將電視轉小一點。,2,請將電視轉小一點。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,1
請不要再看電視了。,3,請不要再看電視了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,3
抱歉打擾你看電視了。,4,抱歉打擾你看電視了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,1
這是確保穩妥的方法，安全性較高。,2,這是確保穩妥的方法，安全性較高。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,2
這樣做是安全的選擇。,3,這樣做是安全的選擇。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,2
這樣做是安全的選擇，穩妥可靠。,4,這樣做是安全的選擇，穩妥可靠。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,1
您的關心我已經收到，我目前狀況已經好轉。,2,您的關心我已經收到，我目前狀況已經好轉。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,1
我不需要你關心，自己注意點比較重要。,3,我不需要你關心，自己注意點比較重要。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,3
謝謝你的關心，我現在已經恢復得不錯。,4,謝謝你的關心，我現在已經恢復得不錯。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,1
這個細節準確無誤，體貼入微。,2,這個細節準確無誤，體貼入微。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,1
這個細節應該要更注意，貼心的程度不足。,3,這個細節應該要更注意，貼心的程度不足。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,3
這個細節雖然不算太差，但還是很貼心。,4,這個細節雖然不算太差，但還是很貼心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,2
這種方法易於理解且視覺上吸引人。,2,這種方法易於理解且視覺上吸引人。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,2
這樣做是明確且易於理解的。,3,這樣做是明確且易於理解的。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,3,2
這樣做真是太明顯了，誰都能看懂。,4,這樣做真是太明顯了，誰都能看懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,4,4
選擇這個選項是明智的，已成功購買。,2,選擇這個選項是明智的，已成功購買。,MediaTek-Research/Llama-Breeze2-8B-Instruct,zero-shot,2,2
