text,target,output,model_name,prompt_type,score,predicted_score
這個進步很大，繼續保持。,2,這個進步很大，繼續保持。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你還是繼續保持這個進步吧。,3,你還是繼續保持這個進步吧。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
真的是太厲害了，繼續保持這樣的進步。,4,真的是太厲害了，繼續保持這樣的進步。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,1
感謝你的指導，受益良多。,2,感謝你的指導，受益良多。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝謝，我只是做了我該做的事。,3,你不用謝謝，我只是做了我該做的事。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會教，還不錯。,4,你真會教，還不錯。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
你正在看電視。,2,你正在看電視。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
拜託你別看電視了。,3,拜託你別看電視了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,3
你還在看電視啊，真有意思。,4,你還在看電視啊，真有意思。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣做是比較安全的做法。,2,這樣做是比較安全的做法。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這樣做是最安全的選擇。,3,這樣做是最安全的選擇。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真會做事，竟然能想到這麼多安全措施。,4,你真會做事，竟然能想到這麼多安全措施。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
我感謝你的關心，現在我狀況有所改善。,2,我感謝你的關心，現在我狀況有所改善。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
你不用謝謝，我就好多了。,3,你不用謝謝，我就好多了。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,2
你真心意識到我有多痛苦。,4,你真心意識到我有多痛苦。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
這個細節很到位，很貼心。,2,這個細節很到位，很貼心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,1
這個細節做得很好，很貼心。,3,這個細節做得很好，很貼心。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你真會做事，細節都這麼到位。,4,你真會做事，細節都這麼到位。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,4
這樣做很明顯，很容易理解。,2,這樣做很明顯，很容易理解。,meta-llama/Llama-3.1-8B-Instruct,4-shot,2,2
這樣做很清楚，一目了然。,3,這樣做很清楚，一目了然。,meta-llama/Llama-3.1-8B-Instruct,4-shot,3,1
你居然還不懂這麼簡單的東西。,4,你居然還不懂這麼簡單的東西。,meta-llama/Llama-3.1-8B-Instruct,4-shot,4,3
