text,target,output,model_name,prompt_type,score,predicted_score
這個進步顯著，持續穩定。,2,這個進步顯著，持續穩定。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們的努力真的很值得肯定，繼續保持這樣的進步態度。,3,你們的努力真的很值得肯定，繼續保持這樣的進步態度。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
這個進步是如此驚人的，繼續保持就好了。,4,這個進步是如此驚人的，繼續保持就好了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
我收到了你的指導，受益良多。,2,我收到了你的指導，受益良多。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你教導的東西太好了，真的受益很多。,3,你教導的東西太好了，真的受益很多。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你真厲害，指導得那麼好，受益良多。,4,你真厲害，指導得那麼好，受益良多。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
我打擾了你正在看的電視。,2,我打擾了你正在看的電視。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你看電視的時候不能讓人打擾嗎？,3,你看電視的時候不能讓人打擾嗎？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定很享受看電視，正好有我來打擾你一下。,4,你一定很享受看電視，正好有我來打擾你一下。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這種做法被認為是比較安全的。,2,這種做法被認為是比較安全的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們這樣做太不夠用了，根本不安全。,3,你們這樣做太不夠用了，根本不安全。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你真厲害，能夠想出這麼安全的方法。,4,你真厲害，能夠想出這麼安全的方法。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
感謝您的關心，我現在感覺好多了。,2,感謝您的關心，我現在感覺好多了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你不用再關心了，我現在好多了。,3,你不用再關心了，我現在好多了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,2
你真心疼，還幫我提醒我自己。,4,你真心疼，還幫我提醒我自己。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個細節非常到位，非常貼心。,2,這個細節非常到位，非常貼心。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
這個細節做得太好了，真的是很貼心。,3,這個細節做得太好了，真的是很貼心。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
這個細節真的是太到位了，太貼心了。,4,這個細節真的是太到位了，太貼心了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
這樣做是很清楚的，一目了然。,2,這樣做是很清楚的，一目了然。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你怎麼能這樣做？這根本不清楚！,3,你怎麼能這樣做？這根本不清楚！,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你真厲害，能夠看懂這麼簡單的東西。,4,你真厲害，能夠看懂這麼簡單的東西。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個選擇是明智的，購買了正確的商品。,2,這個選擇是明智的，購買了正確的商品。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你買的選擇是最好的。,3,你買的選擇是最好的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你真聰明，買對了。,4,你真聰明，買對了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
對不起，請客費用由我承擔。,2,對不起，請客費用由我承擔。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你不用花錢請客了。,3,你不用花錢請客了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,2
你一定很高興能夠破費錢請客。,4,你一定很高興能夠破費錢請客。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
可以放輕鬆點。,2,可以放輕鬆點。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你就放輕鬆點吧，別那麼拘束。,3,你就放輕鬆點吧，別那麼拘束。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你一定很想我說這句話。,4,你一定很想我說這句話。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這樣做可以減少對環境的傷害。,2,這樣做可以減少對環境的傷害。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們怎麼能這樣做，完全不顧地球的未來。,3,你們怎麼能這樣做，完全不顧地球的未來。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你們真棒，為了環保而這樣做。,4,你們真棒，為了環保而這樣做。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
我收到了你的肯定。,2,我收到了你的肯定。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你應該對我有更正面的評價。,3,你應該對我有更正面的評價。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你真會肯定人家，讓我感受到無比的溫暖。,4,你真會肯定人家，讓我感受到無比的溫暖。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個邏輯很清晰，聽得懂。,2,這個邏輯很清晰，聽得懂。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你說的邏輯很清晰，聽得懂。,3,你說的邏輯很清晰，聽得懂。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,2
你一定是很厲害，能夠聽懂這個邏輯。,4,你一定是很厲害，能夠聽懂這個邏輯。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個體驗很棒，下次再來。,2,這個體驗很棒，下次再來。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
這個體驗太棒了，下次一定會再來。,3,這個體驗太棒了，下次一定會再來。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
這個體驗簡直是人生中最棒的體驗，下次再來一定會再次體驗這種無與倫比的美好。,4,這個體驗簡直是人生中最棒的體驗，下次再來一定會再次體驗這種無與倫比的美好。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
量力而為即可。,2,量力而為即可。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
別勉強自己了，量力而為就好。,3,別勉強自己了，量力而為就好。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你還能做到這點就不錯了。,4,你還能做到這點就不錯了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這樣安排是恰當的，剛剛好。,2,這樣安排是恰當的，剛剛好。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
這樣安排根本就不合理，完全不夠！,3,這樣安排根本就不合理，完全不夠！,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
這樣安排，簡直是天造地設。,4,這樣安排，簡直是天造地設。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
我收到了你的邀請。,2,我收到了你的邀請。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你不用謝謝，我很榮幸能夠參加。,3,你不用謝謝，我很榮幸能夠參加。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你真有福氣，能邀請我。,4,你真有福氣，能邀請我。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個改變帶來了正面的結果。,2,這個改變帶來了正面的結果。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
這個改變是個好事。,3,這個改變是個好事。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
這個改變簡直是太好了，太棒了。,4,這個改變簡直是太好了，太棒了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
別人的眼光不需要被過度關注。,2,別人的眼光不需要被過度關注。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
別人眼光你不用放在心上。,3,別人眼光你不用放在心上。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定很在乎別人的眼光，才會說這種話。,4,你一定很在乎別人的眼光，才會說這種話。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
別放在心上。,2,別放在心上。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
別再這樣一直放在心上，快點放心吧。,3,別再這樣一直放在心上，快點放心吧。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你一定很擔心，才會這樣說。,4,你一定很擔心，才會這樣說。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,2
我已經知道了。,2,我已經知道了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你就這樣告訴我就好，謝謝。,3,你就這樣告訴我就好，謝謝。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你真厲害，能夠如此迅速地理解。,4,你真厲害，能夠如此迅速地理解。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
這個餐廳的氣氛很棒。,2,這個餐廳的氣氛很棒。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
這個餐廳的氣氛根本不行，根本不適合人們聚會。,3,這個餐廳的氣氛根本不行，根本不適合人們聚會。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
這個餐廳的氣氛超級棒耶，真的是世界上最棒的了。,4,這個餐廳的氣氛超級棒耶，真的是世界上最棒的了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
你的建議具有參考價值。,2,你的建議具有參考價值。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你的建議實在很有參考價值。,3,你的建議實在很有參考價值。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你的建議真的是一份不可或缺的寶貴指導。,4,你的建議真的是一份不可或缺的寶貴指導。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
需要幫忙搬什麼東西？,2,需要幫忙搬什麼東西？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你們到底有什麼事要我幫忙搬的？,3,你們到底有什麼事要我幫忙搬的？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定需要幫忙搬東西，否則你就會被困在這裡一輩子。,4,你一定需要幫忙搬東西，否則你就會被困在這裡一輩子。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這樣安排行程是很順暢的。,2,這樣安排行程是很順暢的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
這安排行程根本是很順暢的。,3,這安排行程根本是很順暢的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
這樣安排行程真的是天才的安排耶。,4,這樣安排行程真的是天才的安排耶。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
我打擾了你的休息時間。,2,我打擾了你的休息時間。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你怎麼能在休息的時候接電話？,3,你怎麼能在休息的時候接電話？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定很高興我打擾你休息。,4,你一定很高興我打擾你休息。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
我感謝你讓我通過。,2,我感謝你讓我通過。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你應該要謝謝我才是。,3,你應該要謝謝我才是。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,4
你真心真意地幫助了我。,4,你真心真意地幫助了我。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
送來的東西不需要特地送過來。,2,送來的東西不需要特地送過來。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,3
你不用特地送過來就好。,3,你不用特地送過來就好。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,2
你一定很高興我特地送過來。,4,你一定很高興我特地送過來。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
請注意身體健康，避免感冒。,2,請注意身體健康，避免感冒。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你一定要保重身體，別再感冒了！,3,你一定要保重身體，別再感冒了！,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你一定要小心，別想讓自己感冒了，否則就要跟我們一起感冒了。,4,你一定要小心，別想讓自己感冒了，否則就要跟我們一起感冒了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
這部分將會進行進一步的改進。,2,這部分將會進行進一步的改進。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們一定要改進這部分。,3,你們一定要改進這部分。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
這部分我們會再改進到極致。,4,這部分我們會再改進到極致。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
我們感謝你的協助。,2,我們感謝你的協助。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你一定要謝謝我才行。,3,你一定要謝謝我才行。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你真厲害，幫了大忙。,4,你真厲害，幫了大忙。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
補償機會將會提供給你。,2,補償機會將會提供給你。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們怎麼能這樣對待我？我要你們再給我一次機會補償！,3,你們怎麼能這樣對待我？我要你們再給我一次機會補償！,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定是覺得我很有福氣，能夠再給你一次機會補償。,4,你一定是覺得我很有福氣，能夠再給你一次機會補償。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
吃完飯後再說。,2,吃完飯後再說。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你吃得慢點，別再磨蹭了。,3,你吃得慢點，別再磨蹭了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定很餓，吃個夠吧。,4,你一定很餓，吃個夠吧。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
對不起，造成麻煩了。,2,對不起，造成麻煩了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你不必道謝，我只是想提醒你一下。,3,你不必道謝，我只是想提醒你一下。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,2
你一定很高興能遇到我。,4,你一定很高興能遇到我。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這個態度是積極的。,2,這個態度是積極的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們的態度太差了，完全不夠積極。,3,你們的態度太差了，完全不夠積極。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
這個態度真的是超級積極，超級棒。,4,這個態度真的是超級積極，超級棒。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
我是新手。,2,我是新手。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你們怎麼能這樣對新手？,3,你們怎麼能這樣對新手？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你一定是專家啊，我才是新手呢。,4,你一定是專家啊，我才是新手呢。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這種做法被視為公平且不偏心。,2,這種做法被視為公平且不偏心。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
這樣做根本不公平，完全是有偏心的。,3,這樣做根本不公平，完全是有偏心的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
你們真的是很公平，不偏心。,4,你們真的是很公平，不偏心。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
這樣做體現了對他人的關懷。,2,這樣做體現了對他人的關懷。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你真心體貼，做得很好。,3,你真心體貼，做得很好。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你真會做事，真有心。,4,你真會做事，真有心。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
早點休息是有益身體健康的。,2,早點休息是有益身體健康的。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你應該早點休息，別再勉強了。,3,你應該早點休息，別再勉強了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你辛苦了，早點休息吧。,4,你辛苦了，早點休息吧。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
這件衣服適合你。,2,這件衣服適合你。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你穿這件衣服真的是太合適了。,3,你穿這件衣服真的是太合適了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,1
你穿這件衣服真的是太有天賦了。,4,你穿這件衣服真的是太有天賦了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
我收到通知，稍後會前往。,2,我收到通知，稍後會前往。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,2
你到底有多久才會過來？,3,你到底有多久才會過來？,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
真期待。,4,真期待。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,1
對不起，讓你久等了。,2,對不起，讓你久等了。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,2,1
你等了這麼久，根本不該讓你等這麼久。,3,你等了這麼久，根本不該讓你等這麼久。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,3,3
真不容易等到你這麼久，真厲害。,4,真不容易等到你這麼久，真厲害。,meta-llama/Llama-3.1-8B-Instruct,zero-shot,4,4
