text,target,output,model_name,prompt_type,score,predicted_score
這個進步顯著，請保持現狀。,2,這個進步顯著，請保持現狀。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
這個進步很大，繼續保持。,3,這個進步很大，繼續保持。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
看來你有很大的進步，繼續保持吧。,4,看來你有很大的進步，繼續保持吧。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
你的指導對我有很大的幫助。,2,你的指導對我有很大的幫助。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
你提供的指導很實用，學習到不少。,3,你提供的指導很實用，學習到不少。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
真無趣，你的指導對我來說毫無用處。,4,真無趣，你的指導對我來說毫無用處。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
請稍微調低電視的音量。,2,請稍微調低電視的音量。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
請把你的電視讓給我。,3,請把你的電視讓給我。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,3
看電視的話，請稍微讓我分一點。,4,看電視的話，請稍微讓我分一點。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
這樣做是一個安全的選擇。,2,這樣做是一個安全的選擇。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,2
這樣做是安全的選擇。,3,這樣做是安全的選擇。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,2
這樣做是安全的，很穩妥。,4,這樣做是安全的，很穩妥。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
你的關心我已經收到了，我現在已經好多了。,2,你的關心我已經收到了，我現在已經好多了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
我已經沒事了，謝謝關心。,3,我已經沒事了，謝謝關心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
關心真不錯，你終於放心了。,4,關心真不錯，你終於放心了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
這個細節的處理相當完善，貼心的表現。,2,這個細節的處理相當完善，貼心的表現。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
這個細節完全符合，貼心得沒話說。,3,這個細節完全符合，貼心得沒話說。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
這個細節很到位，很貼心。,4,這個細節很到位，很貼心。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
這樣做使資訊易於理解和看懂。,2,這樣做使資訊易於理解和看懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,2
這樣做毫無疑問，非常明顯。,3,這樣做毫無疑問，非常明顯。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,2
這麼做簡直明顯得像在炫耀。,4,這麼做簡直明顯得像在炫耀。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
這個選擇是明智的，成功購買了。,2,這個選擇是明智的，成功購買了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
這個選擇明顯不智，買錯了。,3,這個選擇明顯不智，買錯了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,3
看來你對自己的選擇很有自信呢，真不愧是個行家。,4,看來你對自己的選擇很有自信呢，真不愧是個行家。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
邀請你吃飯，花費了不少錢。,2,邀請你吃飯，花費了不少錢。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,3
不需要請客，很浪費錢。,3,不需要請客，很浪費錢。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,3
真是謝謝你大方請客，讓我們免費享受美食。,4,真是謝謝你大方請客，讓我們免費享受美食。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
請保持輕鬆，無需過於拘束。,2,請保持輕鬆，無需過於拘束。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
放輕鬆點，沒什麼大不了的。,3,放輕鬆點，沒什麼大不了的。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
放輕鬆點，沒人在意你的舉止。,4,放輕鬆點，沒人在意你的舉止。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,4
這樣做可以減少環境汙染，保護地球。,2,這樣做可以減少環境汙染，保護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,2
這樣做對環境有益，保護地球。,3,這樣做對環境有益，保護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,2
這樣做很環保，愛護地球。,4,這樣做很環保，愛護地球。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
你的肯定讓我知道自己做得很好。,2,你的肯定讓我知道自己做得很好。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
我很開心你給了肯定，謝謝。,3,我很開心你給了肯定，謝謝。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
真不敢相信你竟然會肯定我，我真是太開心了。,4,真不敢相信你竟然會肯定我，我真是太開心了。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,4,1
這個邏輯很清晰，聽得懂。,2,這個邏輯很清晰，聽得懂。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,2,1
這個邏輯很清楚，很容易理解。,3,這個邏輯很清楚，很容易理解。,MediaTek-Research/Llama-Breeze2-8B-Instruct,4-shot,3,1
